日期,模型收益,Baseline收益,超额收益,模型选股
2025-01-02,0.013767062704628841,-0.01719178482530659,0.03095884752993543,"600160,002648,688036,605499,002050"
2025-01-03,0.0030835172926352294,-0.026062240261439683,0.029145757554074912,"600845,603501,000938,002648,000786"
2025-01-06,-0.01855930351048689,-0.03766082502482206,0.01910152151433517,"600845,600066,688169,600160,000938"
2025-01-07,-0.0050061194430130575,-0.03408646873071779,0.02908034928770473,"600845,002463,000977,000938,600584"
2025-01-08,0.02468479305848963,-0.011334883654477924,0.036019676712967554,"600845,688008,000938,600066,600584"
2025-01-09,0.03371918390096416,0.008924168051531733,0.024795015849432424,"300866,600584,603893,000938,688008"
2025-01-10,0.006480185075124356,0.021065565183160252,-0.014585380108035896,"002241,300476,000338,002050,603893"
2025-01-13,0.05793094641290999,0.025643209744333186,0.0322877366685768,"603986,002050,000807,605499,688981"
2025-01-14,5.359326164968703e-05,0.0029687627403591765,-0.0029151694787094896,"002050,603986,001391,000338,300442"
2025-01-15,0.04070699991254319,-0.008059571051243131,0.04876657096378632,"603986,300433,688981,000938,002241"
2025-01-16,0.09112843282667597,-0.008700548307949574,0.09982898113462554,"002241,002050,000938,300442,603986"
2025-01-17,-0.00422181008704745,0.0040311516374286205,-0.00825296172447607,"603986,300442,002050,688981,000938"
2025-01-20,0.07983064761681033,0.006625200381504537,0.0732054472353058,"300442,000938,300433,002050,603893"
2025-01-21,0.04595092967435357,0.023767387446885245,0.022183542227468322,"300433,300442,688008,000938,603893"
2025-01-22,-0.004683990617742761,0.010238655893356086,-0.014922646511098848,"300442,688008,000063,603893,603986"
2025-01-23,-0.022879832060688488,-0.005203668117497196,-0.01767616394319129,"688008,000938,600183,300394,002241"
2025-01-24,-0.00538912728089771,-0.002201351609642943,-0.003187775671254767,"002384,300442,002050,002241,300476"
2025-01-27,0.03583912957839781,-0.011475994408534463,0.04731512398693227,"300442,603893,002241,600183,601138"
2025-02-05,0.008949430588635088,0.00250985840415876,0.006439572184476328,"601689,300442,002050,603893,300866"
2025-02-06,-0.027023212803372297,0.00020353719277663718,-0.027226749996148936,"300442,002241,601689,301236,603893"
2025-02-07,-0.004322380342658172,0.0007714069834759751,-0.005093787326134146,"300442,603893,300124,000977,600588"
2025-02-10,-0.020608133472232983,-0.0008823077585738748,-0.019725825713659106,"603893,300124,300033,300442,688111"
2025-02-11,0.056216575341250616,0.010015930877633018,0.0462006444636176,"300124,300251,688111,603893,000977"
2025-02-12,-0.034525557991892365,0.00942881879992825,-0.04395437679182061,"300433,688111,300033,600570,000977"
